Timestamp,UserID,Event Name,UUID,Param/player,Param/event,Param/initialRotationAngle,Param/totalAngleTraversed,Param/proportionalForce,Param/position,Param/rotation,Param/matchTime,Param/WinnerID,Param/P1_ShotsFired,Param/P2_ShotsFired,Param/P1_MaxRotationSpeed,Param/P2_MaxRotationSpeed,Param/P1_TotalTorqueApplied,Param/P2_TotalTorqueApplied,Param/P1_AverageSpeed,Param/P2_AverageSpeed,Param/P1_ButtonPressesPerShot,Param/P2_ButtonPressesPerShot,Param/RoundDuration
2/12/2024 15:15:21,NULL,WeaponAimed,a5e9ba5ca7a1afd8017a43882e473d3c,Player2,WeaponAimed,13.67954,,,,,,,,,,,,,,,,,
2/12/2024 15:15:21,NULL,EndTorqueApplied,b536a90ce7b81dd0e4d1d29b4631ed69,Player2,EndTorqueApplied,,46.32047,2.702027,,,,,,,,,,,,,,,
2/12/2024 15:15:21,NULL,Player1Shot,251d415f96d7c8289127fc1a804d0e06,Player1,Player1Shot,,,,(-1.93, -4.20, 0.00),(0.00, 180.00, 196.79),,,,,,,,,,,,,
2/12/2024 15:15:21,NULL,WeaponAimed,a5e9ba5ca7a1afd8017a43882e473d3c,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:22,NULL,WeaponAimed,f0a86bb3d7b68e4ac9fb39491d865e99,Player1,WeaponAimed,2.487287,,,,,,,,,,,,,,,,,
2/12/2024 15:15:22,NULL,WeaponAimed,f0a86bb3d7b68e4ac9fb39491d865e99,Player1,WeaponAimed,-11.97604,,,,,,,,,,,,,,,,,
2/12/2024 15:15:22,NULL,EndTorqueApplied,ccb7c3dcf93b2694ab017b6129f8f48f,Player2,EndTorqueApplied,,120,7,,,,,,,,,,,,,,,
2/12/2024 15:15:22,NULL,EndTorqueApplied,ccb7c3dcf93b2694ab017b6129f8f48f,Player1,EndTorqueApplied,,71.97604,4.198602,,,,,,,,,,,,,,,
2/12/2024 15:15:22,NULL,WeaponAimed,f0a86bb3d7b68e4ac9fb39491d865e99,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,WeaponAimed,773adb5b093bfb83fea9ccc29c663677,Player2,WeaponAimed,-37.41546,,,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,EndTorqueApplied,a5c8cdd2312f0b58319ac27b3c2f71ad,Player2,EndTorqueApplied,,22.58454,1.317431,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,WeaponAimed,773adb5b093bfb83fea9ccc29c663677,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,WeaponAimed,773adb5b093bfb83fea9ccc29c663677,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,WeaponAimed,773adb5b093bfb83fea9ccc29c663677,Player2,WeaponAimed,-21.70403,,,,,,,,,,,,,,,,,
2/12/2024 15:15:23,NULL,EndTorqueApplied,a5c8cdd2312f0b58319ac27b3c2f71ad,Player2,EndTorqueApplied,,38.29597,2.233931,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,WeaponAimed,0a457661e22fa74da89634554a762eb4,Player1,WeaponAimed,32.74836,,,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,WeaponAimed,0a457661e22fa74da89634554a762eb4,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,EndTorqueApplied,40759cf6bfa236e3e1d2140271f99250,Player1,EndTorqueApplied,,27.25164,1.589679,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,WeaponAimed,0a457661e22fa74da89634554a762eb4,Player2,WeaponAimed,-21.41894,,,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,EndTorqueApplied,40759cf6bfa236e3e1d2140271f99250,Player2,EndTorqueApplied,,38.58106,2.250562,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,WeaponAimed,0a457661e22fa74da89634554a762eb4,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:24,NULL,WeaponAimed,0a457661e22fa74da89634554a762eb4,Player2,WeaponAimed,-21.78193,,,,,,,,,,,,,,,,,
2/12/2024 15:15:25,NULL,WeaponAimed,476c6c7ac1e09fb84707815f9ff77940,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:25,NULL,EndTorqueApplied,50768b7f1c7771ecf7fbccf791a29f3a,Player2,EndTorqueApplied,,38.21807,2.229388,,,,,,,,,,,,,,,
2/12/2024 15:15:25,NULL,WeaponAimed,476c6c7ac1e09fb84707815f9ff77940,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:25,NULL,WeaponAimed,476c6c7ac1e09fb84707815f9ff77940,Player2,WeaponAimed,-32.5383,,,,,,,,,,,,,,,,,
2/12/2024 15:15:25,NULL,EndTorqueApplied,50768b7f1c7771ecf7fbccf791a29f3a,Player2,EndTorqueApplied,,27.4617,1.601933,,,,,,,,,,,,,,,
2/12/2024 15:15:26,NULL,WeaponAimed,c9e7442c6e7f3753ec17b3edcaeec62c,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:26,NULL,WeaponAimed,c9e7442c6e7f3753ec17b3edcaeec62c,Player2,WeaponAimed,-8.744983,,,,,,,,,,,,,,,,,
2/12/2024 15:15:26,NULL,WeaponAimed,c9e7442c6e7f3753ec17b3edcaeec62c,Player2,WeaponAimed,-47.01719,,,,,,,,,,,,,,,,,
2/12/2024 15:15:26,NULL,Player1Shot,0ef89385dd584a7e9bd34f5c5adfef2f,Player1,Player1Shot,,,,(-3.76, 4.24, 0.00),(0.00, 180.00, 281.64),,,,,,,,,,,,,
